id,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,
48,50218,45591,45844,48096,43247,40362,34946,37753,46909,46969,45085,34672,56725,94353,54346,57902,58717,11919,33585,37695,44455,51400,
50,88872,84454,84212,83514,92221,87532,69408,82189,86646,78497,74928,67386,92189,147044,93361,88420,79033,24447,65415,81761,95608,96710,
52,169219,154212,150929,147919,154606,153323,126408,142166,161514,154980,148431,122793,160864,212067,136059,127589,136212,47976,121058,147384,156835,162240,
53,54498,47134,42580,43990,42820,45305,33018,34115,37122,31574,29461,25035,38670,58577,31426,30739,31924,13092,37169,42202,49139,56756,
54,32945,27438,26332,27455,26873,29799,23822,26586,28548,26340,24885,20040,20853,39563,23445,20935,22407,8251,22287,28169,28505,33979,
55,21046,16955,16909,15600,16912,20384,13224,15009,17354,16814,15354,12661,20213,38634,21631,17248,15992,5271,12499,17132,17491,21754,
56,81197,65943,61524,59605,62514,63976,50751,61475,66188,58252,54247,46776,68151,120149,73893,62256,58407,18179,45815,61568,72485,86157,
57,6997,6838,6324,6828,6906,6104,4902,9389,5382,5390,5819,5250,11413,36310,22790,21006,16660,2097,4926,7416,8244,7882,
58,1484455,1455576,1387748,1401912,1507200,1561800,1310544,1535390,1583790,1578866,1465548,1259246,1512249,1767241,1163552,1278619,1297314,348457,924405,1123317,1321366,1381641,
59,77740,70247,66061,68843,77602,73749,62872,77091,72504,65194,61844,54468,75929,84217,58720,58432,58533,19093,50807,61269,68073,80125,
60,17084341,15779558,15727603,15708348,16618867,16506405,12637917,13541170,13182085,11811421,10190690,8644286,14727054,24867993,15773076,16468303,15534118,5830710,13028133,15052200,16037951,16986696,
61,347498,310232,306181,305556,316059,323512,275781,322191,339613,337384,321639,279620,356529,403721,266386,269908,268345,88071,231825,293255,328459,347432,
62,3190,3011,2906,3469,3581,4983,2757,3430,4223,3133,3416,2974,4092,6552,3115,2705,3027,1047,2993,2326,2858,4256,
63,115090,103784,100555,107273,110041,85380,75419,96769,104205,106453,96867,82772,103285,146181,94444,96213,79796,48059,96137,102779,97460,112887,
64,252409,212480,211002,211335,216166,219087,182587,225236,243952,232805,212497,178433,224474,282530,180598,176643,177730,63713,162478,202695,222065,246225,
65,109432,114768,127619,131671,57572,0,1,0,0,0,0,0,50913,150745,93975,103943,89346,50720,104252,122259,135583,134235,
66,380330,354967,370840,380833,182743,10857,9217,12552,13299,16519,12506,10070,146259,444731,284589,299744,248016,164378,343312,386780,421131,425120,
67,104054,85709,83964,83241,86236,86369,67623,84408,83207,83134,81033,62019,83903,107744,73454,68940,65336,29526,69816,85753,89940,94508,
68,139865,128501,123480,129928,60109,6650,9010,10252,11213,11394,3175,0,59990,162254,103858,107239,87605,50339,105671,125370,134342,140580,
69,236365,210139,206240,184551,231575,155420,205886,221106,228936,215542,71981,0,82035,230919,149874,151422,137478,80688,173594,221152,230228,243609,
70,31977,31739,24955,27864,29941,18131,23571,30631,30439,26407,8198,0,9350,29699,18900,18916,18417,11665,23171,29505,29947,33322,
71,5644,6305,9174,9224,15082,13811,10985,14668,13098,11921,10297,9338,12199,9674,7321,7806,8174,3210,9615,8347,5144,5883,
73,13774,17061,25737,34200,38495,35832,28461,37049,33033,32801,24119,24612,29404,30385,19536,21503,20199,11147,27306,24660,15991,15851,
74,1081,1390,1871,2535,2712,3440,2087,3134,2421,3146,2515,1990,4086,7188,5239,5669,5344,1421,3121,2265,1176,1077,
75,148859,172869,245049,318774,391565,378732,287886,360795,346647,372820,290519,285961,350433,409487,273933,311138,284674,135144,282495,230041,145249,158750,
76,1156,1480,2039,2881,3625,3850,3103,4531,3029,3090,2356,2134,2678,2569,1906,2022,2292,793,2448,1549,1010,1296,
77,7812,8212,11905,15318,19353,18259,14243,20719,16691,16618,13406,14112,17306,16994,11327,12933,12647,7115,13776,11039,7220,7166,
78,3341,3756,5173,6696,8306,7960,6618,8228,7841,9102,7910,7860,10021,10158,6219,6530,6790,3003,7395,5907,3635,3815,
79,58723,71931,108424,136062,154810,151104,121114,152794,150984,155734,127143,119764,141126,154802,104683,108508,101689,58365,127605,100075,59750,62786,
80,4467,6197,11060,12796,17230,13786,11005,13501,14297,13383,10535,10911,12420,14107,9024,10273,9397,5403,11751,8978,5540,5775,
82,12267,16390,22435,28792,33413,31226,23303,29544,29405,28933,23312,23840,28788,32409,19823,24526,23514,11802,25790,21726,12841,14610,
84,44648,55386,79831,109768,114463,92368,61368,111856,104023,114684,88571,85925,109439,124391,77534,88407,88154,40472,90254,73264,47448,48994,
85,6730,8880,12571,17608,20149,19418,14665,19894,17957,18714,14572,14087,16637,18962,12661,11942,10912,5476,14537,13311,8147,6594,
86,8769,10307,15087,19840,22515,18746,15633,19614,18077,18482,13723,11880,15612,16904,11133,11278,10983,7492,15517,13110,8580,8542,
89,312786,305433,305700,297810,304641,289566,249690,304005,320368,306939,293555,244202,315802,373156,254284,275187,281154,82948,215403,272283,311480,327577,
90,5486,7339,8334,7571,8034,7511,6688,8557,7744,7480,3497,0,3158,8673,6775,5916,5746,2022,5007,4940,5927,7344,
91,28831,32624,35045,36439,34805,30898,26461,41446,38879,35987,35877,30847,39133,42392,28897,38519,35753,7996,20036,26900,26200,31437,
92,42274,48480,1703,2,1,1,1,3,1,3,3,4,28503,72840,50461,53452,54839,6973,35792,42544,50109,53869,
93,2924,2801,4527,6440,6531,5842,5357,6511,6133,6391,5072,5522,6174,7282,5005,4598,6101,2416,6118,3810,2500,2757,
94,9775,8681,7294,7094,7886,6918,5690,6942,8674,7827,4959,0,6411,22312,15860,17211,14609,2178,9047,9845,10825,11512,
95,4627,5189,5367,4809,5315,5377,4730,5707,6102,6514,6065,5591,7079,12079,4966,5775,5426,1373,3857,4306,4792,6049,
96,13281,15482,17312,15838,16675,16912,13364,18529,18425,19366,19924,16766,18206,27493,17958,17154,17179,4331,14006,15182,15484,16658,
97,16154,20226,20892,24298,27348,27203,21457,26677,27132,23615,10811,0,11296,29394,18303,18306,20602,6483,17627,21525,21290,22276,
99,10394,8022,0,0,0,0,0,0,0,0,0,0,6294,15247,10657,11672,12513,2553,8157,10136,11672,11437,
100,6159,4946,4739,5045,6223,5677,4091,5153,5300,4813,5201,4407,5880,7038,5781,5244,5938,1763,3913,4120,5002,5060,
101,60279,45448,9620,10097,10114,10263,7787,9563,9768,9408,4181,0,32376,88065,57044,55780,64477,18392,52033,59600,69778,73621,
102,10338,7435,0,0,0,0,0,0,0,0,0,0,4955,13278,9532,9112,8891,3716,10147,9899,12958,12007,
103,24734,26491,13904,13944,15028,16795,12773,15235,16241,13672,7385,1260,12062,32674,20662,23561,26169,6896,19668,21710,25482,24174,
104,22441,18037,5055,7745,7788,7308,5168,5633,6511,6486,2041,0,11285,29960,19630,20642,20457,6046,19543,19668,22854,22629,
106,90413,34951,4917,4608,4902,4246,3789,4953,5210,4537,3290,840,43327,129748,89073,87880,89627,25217,78224,81597,92304,111033,
107,8462,8942,9790,8867,13671,14302,9389,11826,10980,9637,10214,9065,10602,11445,6980,8146,9864,2393,8575,9454,8706,8761,
108,45457,55659,53606,51913,52075,46306,44906,55918,56481,55389,53944,27020,25111,66677,46627,49919,50016,7627,37189,46717,57388,57568,
109,35389,9334,0,0,0,0,0,0,0,0,0,0,16192,45198,28152,30568,31581,12252,36073,44382,48988,47889,
110,81675,93215,55034,49197,47290,43735,37892,51335,51577,45303,27877,2854,45393,114025,76217,77041,73388,25058,73306,85674,90789,99123,
113,17834,19167,28842,35148,49816,43850,43413,37876,41700,40118,29969,37594,42920,56977,30595,28327,31188,15090,31924,25145,17930,23124,
114,2028,2525,3829,5956,7158,7436,5184,6338,5741,4479,4681,4439,5452,5351,2733,2230,3203,2145,5441,3979,1792,2023,
115,41106,37899,59393,77477,87978,75387,58017,71250,72817,70075,55711,52319,69916,74067,45617,49125,45011,33935,65175,56179,36653,39314,
116,188731,172865,272334,346970,397727,375681,296254,353421,365093,346514,277942,269263,354384,353652,249081,267650,245115,165858,330084,270635,174134,176449,
117,274503,287794,426486,553031,638645,612089,469389,571478,578461,559963,433737,422974,548821,590051,393713,440393,399239,243873,487265,404309,269592,265866,
118,79319,72703,115660,157031,171798,151042,114861,145594,148187,138893,116104,113361,154957,179998,110289,118121,102247,69750,138769,123622,75554,81143,
119,103982,104285,149301,191669,228322,232067,173495,223148,236713,232530,183784,175263,219212,216648,160310,164531,153626,81967,170785,139790,90563,98764,
120,69974,55915,100524,137432,154265,146364,113749,140324,134582,130681,103735,91626,127445,140033,87646,90412,73143,58174,119526,98916,67234,67890,
121,132480,131844,183368,236674,285509,273248,206134,261182,269284,246047,195161,197433,260201,276020,183311,200698,175439,115778,225279,184881,118169,126196,
