id,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,
215,6341,5677,6381,6370,7155,8631,6370,7555,8230,7024,7838,7639,10655,10462,6674,7968,7020,1860,5002,6284,7095,7869,
216,22290,19816,20073,19284,19408,21264,17382,21216,22741,20979,21493,20262,29734,37873,24606,24601,25128,5893,15500,18143,21022,22701,
217,7312,6560,6687,6695,5726,6687,5380,8040,7297,6145,7159,7786,9658,10754,7418,6986,7232,1871,5889,6277,6841,7171,
218,12177,11123,11284,10308,14027,15390,11723,14855,14800,12382,12972,12549,15563,17857,11056,12278,15028,3414,11048,12067,12294,13761,
219,12493,11568,11213,11929,11729,11892,9637,5675,11336,9732,9754,9027,11458,11939,7153,8409,9970,3725,10241,10633,10722,11732,
220,22928,20805,21104,19863,21918,22621,17899,36551,27444,19629,18794,16216,21798,22661,14158,19432,19811,5913,20094,23056,22176,25633,
222,21736,9878,16969,14662,14275,14529,11782,10844,17235,8868,14738,15288,16630,20111,11329,11981,12864,5286,14560,16923,16845,20508,
223,29231,29824,28242,25471,26853,25956,21362,27625,26463,27062,27116,21427,27908,32849,24186,25216,22113,7257,21604,24435,27660,26424,
224,16500,15761,14845,15461,13749,14976,12235,15809,15651,14348,13190,11319,16184,21713,15290,16849,14093,4776,12310,15621,13821,16076,
225,34780,29828,27394,29214,29637,29285,21478,27776,29883,29356,25614,21888,30617,40771,25687,25537,21669,9580,23014,26263,30097,35403,
226,5087,4674,4622,4609,3966,5064,4124,5187,5464,4717,4811,4301,5701,5294,3129,4358,4250,1299,3356,3773,4613,4748,
227,49460,47109,42473,43215,44929,47817,39060,46142,53101,46034,45968,42009,53477,57066,39831,40932,37825,14080,37885,45587,50041,50466,
228,66705,55393,55669,57927,62189,64707,51953,66416,69050,71898,58756,62998,76064,98443,57849,67069,63388,19702,50126,59724,62475,67324,
229,30067,31307,47152,66086,75755,81881,70783,90253,76949,81976,62512,62591,79777,86637,61202,60247,63046,26256,61418,48148,28235,30040,
230,4019,4014,5379,8316,9089,8046,6584,8480,7968,8833,7179,7235,8668,8629,5799,6311,6339,3502,6536,5449,3263,3536,
231,57175,44036,40667,42800,52598,37627,36371,47823,55784,22730,0,0,19819,59929,36135,33091,28638,23983,42236,47757,56523,98335,
232,60469,53584,60246,54661,58242,60749,50297,57646,56957,58188,51902,43517,55929,75252,44754,44878,50276,17470,47203,52780,59489,57572,
233,177889,139718,147132,150527,153464,150741,139757,146472,153479,146863,124327,105921,150035,173757,109243,119799,112623,45882,130718,141551,192542,184272,
234,12826,9118,10875,11552,11811,10662,8504,11715,12391,12475,11794,10417,12376,13305,8809,9497,9830,2920,7825,9970,12422,13612,
235,98320,84276,85173,82047,83452,81851,63983,84908,83953,77135,71483,59510,76647,90737,58306,55442,57024,26434,70022,88983,88969,98227,
236,4331,5502,7555,10773,11691,11850,8318,10739,10387,8752,7181,7263,9734,9245,6239,6700,6450,4069,9313,6611,4843,4996,
237,88427,101952,141574,191478,233592,220092,163290,203762,217782,214721,169195,160364,197730,219264,145487,160351,138332,81531,164406,129671,87633,94067,
238,3515,3560,5054,6932,8787,4418,7714,7884,3782,8167,6730,5798,6896,8122,5063,3250,5528,2539,6914,5696,3660,3086,
240,17639,19747,26608,36608,44494,27799,38770,43349,44135,43686,37818,36400,46450,51682,26880,18015,33662,15144,33836,30536,16891,19345,
241,506,890,1672,1743,3383,3319,1991,2406,1638,2471,1434,1409,1716,2586,1275,1621,1718,648,2297,1534,694,821,
242,35130,34645,50610,70504,87236,88818,70998,77215,83139,84262,67574,64482,76482,90814,59343,66363,62434,29260,62406,51618,30592,32240,
243,8888,10219,14744,20594,23649,23715,18786,22378,21732,24235,17150,16676,19571,24669,15850,15157,14658,8712,21788,15667,9195,9828,
244,1934,2103,3988,5241,5809,5565,4304,5588,4754,4185,3112,3486,4516,5199,2639,2877,2340,1756,3649,2741,1499,1716,
246,2805,2490,3262,2805,2655,2259,2988,5600,4395,3028,3609,1381,2437,4935,3368,2860,3149,502,3501,2972,2710,3083,
247,11680,14176,20030,28456,30189,27982,20477,25292,22017,23117,19456,17601,22029,21871,10621,13656,12817,9584,20767,17742,11992,11152,
248,38434,45232,67482,89546,108999,95861,86458,115123,104522,104054,80096,76994,97479,111381,73533,72270,67430,36499,79312,62032,36920,44337,
249,26245,26967,25280,26085,26463,26640,21748,26167,26851,25642,19350,20186,25120,43173,23097,22213,20177,8114,21528,26869,27251,30531,
250,302710,273083,258009,255603,280006,278094,232246,265284,284710,271280,246314,211149,271158,373150,243444,241888,241706,81957,196883,234638,279932,309411,
251,10974,10374,9725,8958,9724,6456,8808,10212,10980,10832,3713,0,3928,12542,6906,7313,6313,4734,9356,10059,10647,11414,
252,39598,37759,38593,38209,42496,39344,31404,37810,40243,37661,35524,30566,38741,44805,32187,31265,34827,9659,29484,33423,35748,40633,
253,55883,52431,53219,53781,59290,59885,48553,60705,60535,58978,56427,45417,57921,71445,46705,52364,55019,14978,37598,47281,47727,55419,
254,18995,20658,30352,40587,45195,45491,37040,42899,45213,47878,36426,32144,32163,44033,33577,34657,31354,16611,39870,28202,17132,18709,
255,331169,285128,270763,273232,287550,292583,241285,289994,304895,289094,272803,224895,285250,338590,218481,236186,231482,78312,210491,248768,280452,319057,
